case_id,n_models,mean_fcc,median_fcc,cross_model_fcc_sd,cross_model_fcc_range,mean_crwr,median_crwr,cross_model_crwr_sd,cross_model_crwr_range,mean_fcc_minus_crwr,mean_fcc_judge_sd,mean_crwr_judge_sd,mean_turns,max_turns,mean_workspace_turns,closed_success_n,open_at_100_n,runtime_error_n,responsibility_chain_requirement_count,high_order_test_point_count,expected_evidence_channel_count,expected_turn_budget_category,expected_closure_within_100,handoff_is_transition_only,required_receipt_count,blocking_residual_risk_count,premature_closure_trap_count,responsibility_chain_burden_score,responsibility_chain_burden_level,evidence_integration_burden_score,evidence_integration_burden_level,friction_burden_score,friction_burden_level,temporal_burden_score,temporal_burden_level,closure_coordination_burden_score,closure_coordination_burden_level,contract_complexity_index,contract_complexity_level,disease_domain,target_problem,starting_phase,secondary_frictions,tool_dependency,high_order_capability_domains
case_CL120_EHR_033,10,0.6133727273,0.6045454545,0.20006851,0.5349545455,0.4968818182,0.4440340909,0.2371548557,0.6579772727,0.1164909091,0.1916548889,0.2607912257,19,59,4,10,0,0,8,4,7,long,maybe,False,2,6,6,2,high,2,high,2,high,2,high,2,high,10,high,endocrine_metabolic,hypoglycemia,home_execution_failure,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_034,10,0.7617613636,0.7872159091,0.09900755264,0.3454545455,0.5332585227,0.5207386364,0.1604304462,0.4658522727,0.2285028409,0.175710438,0.238346228,36.9,74,11.7,10,0,0,6,4,5,long,maybe,True,2,5,5,0,low,0,low,2,high,2,high,1,moderate,5,moderate,endocrine_metabolic,thyroid_dysfunction,longitudinal_followup,incomplete_patient_information | medication_confusion_or_execution_failure,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_035,10,0.8670833333,0.9083333333,0.0925797329,0.3083333333,0.5695,0.5602083333,0.2317253036,0.68375,0.2975833333,0.2612340488,0.3006470158,65.4,100,10.4,5,4,1,7,4,8,extra_long,no,True,2,5,5,1,moderate,2,high,2,high,2,high,1,moderate,8,high,endocrine_metabolic,steroid_or_insulin_adjustment,longitudinal_followup,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_036,10,0.73575,0.73875,0.07828673259,0.2125,0.4229125,0.4043125,0.1924761921,0.515375,0.3128375,0.221266703,0.3120162634,52.4,100,8.4,8,1,1,8,4,6,medium,yes,True,2,5,5,2,high,1,moderate,0,low,1,moderate,1,moderate,5,moderate,endocrine_metabolic,obesity_sleep_apnea_metabolic_risk,discharge_transition,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_037,10,0.8004166667,0.9020833333,0.226311379,0.6708333333,0.6102291667,0.6096875,0.2306291299,0.7952083333,0.1901875,0.2456041444,0.3143397446,39,95,12.9,9,0,1,8,4,6,medium,maybe,True,3,5,5,2,high,1,moderate,0,low,1,moderate,2,high,6,moderate,endocrine_metabolic,diabetic_foot_wound_and_sick_day_medication_safety,home_execution_failure,document_or_image_quality_problem | delayed_or_staged_result_return,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_038,10,0.8,0.7958333333,0.0929643002,0.35,0.5877708333,0.549375,0.1863427493,0.6275,0.2122291667,0.1493838864,0.2755258287,31.2,89,7.4,10,0,0,8,4,7,short,yes,True,3,5,5,2,high,2,high,0,low,0,low,2,high,6,moderate,endocrine_metabolic,postoperative_glucose_variability_and_medication_safety,home_execution_failure,delayed_or_staged_result_return | low_adherence_or_refusal,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_039,10,0.7363711538,0.7491346154,0.1418812118,0.5167884615,0.4603838462,0.4075985577,0.2487509966,0.7958759615,0.2759873077,0.2679481842,0.3336623061,13.9,27,4.4,10,0,0,5,4,5,medium,maybe,True,2,5,5,0,low,0,low,0,low,1,moderate,1,moderate,2,low,renal_urology,ckd_med_reconciliation,post_handoff,low_adherence_or_refusal | external_system_gap,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_040,10,0.6130357143,0.5875,0.1151558671,0.3625,0.4779107143,0.4692410714,0.2271436861,0.646875,0.135125,0.1853119224,0.2051055725,10.1,16,3.8,10,0,0,7,4,5,medium,maybe,True,2,5,5,1,moderate,0,low,0,low,1,moderate,1,moderate,3,low,renal_urology,uti_culture_action,post_handoff,external_system_gap | misstated_family_or_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_041,10,0.7376785714,0.7145833333,0.1443878312,0.4827380952,0.5925386905,0.5212797619,0.2131227571,0.6979464286,0.145139881,0.2024094592,0.300817435,19.3,55,5.7,9,0,1,8,4,7,medium,yes,True,3,5,5,2,high,2,high,1,moderate,1,moderate,2,high,8,high,renal_urology,renal_function_abnormality_warning_and_result_followup,result_return,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_042,10,0.8504166667,0.8458333333,0.06429235526,0.2666666667,0.6346875,0.675,0.226473287,0.7433333333,0.2157291667,0.1550563147,0.2575731276,8.1,14,3.6,10,0,0,8,4,6,medium,yes,True,2,5,5,2,high,1,moderate,1,moderate,1,moderate,1,moderate,6,moderate,renal_urology,stone_colic,result_return,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_043,10,0.7783333333,0.8208333333,0.1460688574,0.5333333333,0.6611666667,0.7114583333,0.2149984496,0.7716666667,0.1171666667,0.1665357563,0.2508585265,23.2,62,3.1,9,0,1,8,4,6,medium,yes,False,2,5,5,2,high,1,moderate,1,moderate,1,moderate,0,low,5,moderate,renal_urology,anticoagulation_and_hematuria,home_execution_failure,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_044,10,0.7829166667,0.8270833333,0.1889889951,0.6875,0.6758541667,0.69375,0.2641738539,0.890625,0.1070625,0.1460906049,0.2479553344,30.7,75,6.8,10,0,0,7,4,7,medium,yes,False,2,5,5,1,moderate,2,high,1,moderate,1,moderate,0,low,5,moderate,renal_urology,ckd_med_reconciliation,home_execution_failure,incomplete_patient_information | medication_confusion_or_execution_failure,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_045,10,0.7363636364,0.7363636364,0.1556780856,0.4465909091,0.4075568182,0.3949147727,0.1795106078,0.6150568182,0.3288068182,0.1744482968,0.2594863899,17.6,35,5,10,0,0,7,4,8,medium,maybe,True,2,5,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate,renal_urology,uti_culture_action,longitudinal_followup,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,HO1 | HO2 | HO3 | HO4
