case_id,file,sha256,legacy_declared_sha256,archive_member_sha256
case_CL120_EHR_062,case_CL120_EHR_062.json,87ea15a295034274f0ca275a355ed8de69f38ec0aa76396c1ab11bd070ecb92f,e147260461cc1b715fef9b074f7e3cc75dbc24d82b8ff2c73daa3f351f759211,87ea15a295034274f0ca275a355ed8de69f38ec0aa76396c1ab11bd070ecb92f
case_CL120_EHR_063,case_CL120_EHR_063.json,d1e9d3eecf5d45276aa65cbce5a607205548decd8c96988d37d60cc02a3154bf,fa9d546e8785124528c8912d225bb609b976320be41a1d285551544bf62e111a,d1e9d3eecf5d45276aa65cbce5a607205548decd8c96988d37d60cc02a3154bf
case_CL120_EHR_064,case_CL120_EHR_064.json,d4785ff96e1f0283216d49727b33db2cc7346a20d826e96295ef7c5cc0a2652b,c2ef2eb488f81a4b1e8e43af9605401e159185d81418ab717d3551d8ba53e5d9,d4785ff96e1f0283216d49727b33db2cc7346a20d826e96295ef7c5cc0a2652b
case_CL120_EHR_065,case_CL120_EHR_065.json,660b53eaa111549dc5a3ddfc97d929c8f5bc7f2b178919f1cb87c96c58d89718,9e062d69a7ac2d9d9e0391efe6438eadf0e05021c86a96287806e8f33347cf8e,660b53eaa111549dc5a3ddfc97d929c8f5bc7f2b178919f1cb87c96c58d89718
case_CL120_EHR_066,case_CL120_EHR_066.json,1aeb4d82cb3b25979009434f7dc2b04bf9723ae36e8e31f34ceb5f4014930f26,c2637d516a282abcee4bffde5e1413c59904a0e5cdce0a9d86ffdf2a37b9f27b,1aeb4d82cb3b25979009434f7dc2b04bf9723ae36e8e31f34ceb5f4014930f26
case_CL120_EHR_067,case_CL120_EHR_067.json,bcb3caacff4aa5b0d81b090e94b6fc9e4807e9ef5c1d9242d807b9654ebd7042,153f3a34905fe5ea38a0414415756e2e8ce2ec9520a972ea57112be329dbaaac,bcb3caacff4aa5b0d81b090e94b6fc9e4807e9ef5c1d9242d807b9654ebd7042
case_CL120_EHR_068,case_CL120_EHR_068.json,f9dc7246a3bc6aa654efe9bd61890646cf219169a6552560460bf9bdb1141b39,2db2bd9586265a6a47ff81bbe56aebf5fa29a5b3854109181df72551fe452dd8,f9dc7246a3bc6aa654efe9bd61890646cf219169a6552560460bf9bdb1141b39
case_CL120_EHR_069,case_CL120_EHR_069.json,a453c647a7b44b6d517561cc120c80532b5002461d34699c86607903afc90fb9,8920bd6d83eff0ca931be7fc872f31686055dcaeb2f54c185e722ececc4d062d,a453c647a7b44b6d517561cc120c80532b5002461d34699c86607903afc90fb9
case_CL120_EHR_070,case_CL120_EHR_070.json,f901b805285a897a64b80d8420ffdf80129c2a7126c34aa211cc00811cbf6b30,05c5395a23ca22c1576001f787ead81cf8fe41e84d141f9974e7fe1aa2054aff,f901b805285a897a64b80d8420ffdf80129c2a7126c34aa211cc00811cbf6b30
case_CL120_EHR_071,case_CL120_EHR_071.json,811906440b074bc4e7c0742f16a6720b3b241185f9ab7e59263266cb3c5d9e2a,634b3c7ad1633d5775d315d9bf824c11d605e153affa66de7eb29bb092036e68,811906440b074bc4e7c0742f16a6720b3b241185f9ab7e59263266cb3c5d9e2a
case_CL120_EHR_072,case_CL120_EHR_072.json,c01ad41ebfde01cbdc5e7639b47c6d25d9b639b0efaaad67747cfd19d0f75b14,29c830991b34acfa7190984b80db7c44a181cf63725c98cfd87d97591f883476,c01ad41ebfde01cbdc5e7639b47c6d25d9b639b0efaaad67747cfd19d0f75b14
