doctor_model,primary_friction,n_cases,friction_capability_mean,friction_capability_ci95_low,friction_capability_ci95_high,robustness_mean,robustness_ci95_low,robustness_ci95_high
Kimi K2,medication_confusion_or_execution_failure,12,0.6983364898989898,0.6101420454545454,0.7718786300505049,0.4987572601010101,0.38172383996212117,0.6072196338383837
MiniMax M3,medication_confusion_or_execution_failure,12,0.7384627525252525,0.6303977272727274,0.8333333333333331,0.5376822916666666,0.421591796875,0.6450225694444444
Qwen3-30B-A3B-Instruct-2507,medication_confusion_or_execution_failure,12,0.7196969696969697,0.6064962121212121,0.8189078282828283,0.4998650568181818,0.38177337831439395,0.6245228851010102
Qwen3.8-Max,medication_confusion_or_execution_failure,12,0.7999999999999998,0.7083333333333334,0.884375,0.6341493055555555,0.5196671006944444,0.7466167534722223
DeepSeek-V3.2,misstated_family_or_patient_information,12,0.7835772907647908,0.6962574968434344,0.8641289569805196,0.6310569985569985,0.5474413639745672,0.7136483163104258
DeepSeek-V4-Pro,misstated_family_or_patient_information,12,0.7864136904761906,0.6856127232142857,0.8729154716810967,0.5749230474386725,0.48631715480699866,0.677885084099928
Doubao-Seed-2.0-lite,misstated_family_or_patient_information,12,0.6443407287157288,0.48325103715728707,0.7851158346861469,0.4773648313492063,0.32574055848665223,0.6217322696834415
GLM-5,misstated_family_or_patient_information,12,0.731845689033189,0.610142665494228,0.8428946158008658,0.5926708378427128,0.4528290635146103,0.7295834190115442
GPT-5.4,misstated_family_or_patient_information,12,0.7299711399711399,0.6418726213023089,0.8146542433261182,0.6233031430375181,0.5003600204049423,0.7391844505321068
GPT-5.6 Sol,misstated_family_or_patient_information,12,0.8439454365079365,0.7980148967352092,0.8929590931637806,0.7341926181457432,0.6225820453418109,0.824853777732684
Kimi K2,misstated_family_or_patient_information,12,0.6920341810966812,0.565362554112554,0.802009154040404,0.5359466314935065,0.37799183238636375,0.6918246640512264
MiniMax M3,misstated_family_or_patient_information,12,0.67040376984127,0.5303711489898992,0.8021180758477633,0.5167297077922078,0.3766724138708514,0.6586712098665224
Qwen3-30B-A3B-Instruct-2507,misstated_family_or_patient_information,12,0.6394097222222223,0.5322716562950939,0.7274450419372295,0.4494232503607503,0.33040777755230877,0.5642495349702382
Qwen3.8-Max,misstated_family_or_patient_information,12,0.7963612914862915,0.7322241702741704,0.8601672077922079,0.6224789637445888,0.49602610479797976,0.7470513635236291
DeepSeek-V3.2,privacy_stigma_or_sensitive_history,12,0.7053124999999999,0.5515650027056277,0.8248381020021646,0.5918577516233766,0.4468161948728354,0.7138989955357141
DeepSeek-V4-Pro,privacy_stigma_or_sensitive_history,12,0.6589826839826839,0.5352651515151515,0.7640092329545454,0.4896228354978354,0.3663640794101731,0.6013943520021644
Doubao-Seed-2.0-lite,privacy_stigma_or_sensitive_history,12,0.5665297619047619,0.4297383658008657,0.6950555465367966,0.39254542748917737,0.2762406358225108,0.5066603422619047
GLM-5,privacy_stigma_or_sensitive_history,12,0.6005029761904762,0.48851068046536805,0.7052252435064934,0.44067090097402595,0.33168161255411255,0.5491477049512987
GPT-5.4,privacy_stigma_or_sensitive_history,12,0.6901377164502165,0.5673775703463204,0.7956812770562768,0.5584297213203463,0.43134472740800867,0.6734571766774892
GPT-5.6 Sol,privacy_stigma_or_sensitive_history,12,0.6870643939393939,0.562938041125541,0.7925064258658009,0.6075838744588743,0.4811753246753246,0.7247773099296537
Kimi K2,privacy_stigma_or_sensitive_history,12,0.5129380411255411,0.3740709212662337,0.6455035443722944,0.37954322240259747,0.23787117999188315,0.5262980299648268
MiniMax M3,privacy_stigma_or_sensitive_history,12,0.6447443181818182,0.49894081439393934,0.771642316017316,0.4868659361471861,0.35806296672077925,0.6159652056277055
Qwen3-30B-A3B-Instruct-2507,privacy_stigma_or_sensitive_history,12,0.538349567099567,0.4151814799783549,0.6601427218614718,0.3770499864718615,0.25314998478084416,0.5016448694534632
Qwen3.8-Max,privacy_stigma_or_sensitive_history,12,0.6606114718614718,0.5214798430735933,0.782225716991342,0.5258678300865801,0.37669546469155835,0.6719703226461039
