strategy,doctor_model,score,rank,kendall_tau_b_vs_primary,spearman_rho_vs_primary
judge_only:GLM-5,Kimi K2,4.116666666666666,9.0,0.4944132324730442,0.7173285415424762
judge_only:GLM-5,MiniMax M3,4.191666666666666,8.0,0.4944132324730442,0.7173285415424762
judge_only:GLM-5,Qwen3-30B-A3B-Instruct-2507,3.975,10.0,0.4944132324730442,0.7173285415424762
judge_only:GLM-5,Qwen3.8-Max,4.5,1.0,0.4944132324730442,0.7173285415424762
judge_only:GPT-5.5,DeepSeek-V3.2,2.8666666666666667,5.0,0.6292532049656926,0.8145934285312865
judge_only:GPT-5.5,DeepSeek-V4-Pro,2.8833333333333333,4.0,0.6292532049656926,0.8145934285312865
judge_only:GPT-5.5,Doubao-Seed-2.0-lite,2.2416666666666667,9.0,0.6292532049656926,0.8145934285312865
judge_only:GPT-5.5,GLM-5,2.725,7.0,0.6292532049656926,0.8145934285312865
judge_only:GPT-5.5,GPT-5.4,3.341666666666667,2.0,0.6292532049656926,0.8145934285312865
judge_only:GPT-5.5,GPT-5.6 Sol,3.85,1.0,0.6292532049656926,0.8145934285312865
judge_only:GPT-5.5,Kimi K2,2.183333333333333,10.0,0.6292532049656926,0.8145934285312865
judge_only:GPT-5.5,MiniMax M3,2.7333333333333334,6.0,0.6292532049656926,0.8145934285312865
judge_only:GPT-5.5,Qwen3-30B-A3B-Instruct-2507,2.2916666666666665,8.0,0.6292532049656926,0.8145934285312865
judge_only:GPT-5.5,Qwen3.8-Max,2.9833333333333334,3.0,0.6292532049656926,0.8145934285312865
judge_only:gpt-5.6-sol,DeepSeek-V3.2,1.475,5.0,0.75,0.899390243902439
judge_only:gpt-5.6-sol,DeepSeek-V4-Pro,1.45,6.0,0.75,0.899390243902439
judge_only:gpt-5.6-sol,Doubao-Seed-2.0-lite,1.3083333333333333,9.0,0.75,0.899390243902439
judge_only:gpt-5.6-sol,GLM-5,1.4916666666666667,3.5,0.75,0.899390243902439
judge_only:gpt-5.6-sol,GPT-5.4,2.1416666666666666,2.0,0.75,0.899390243902439
judge_only:gpt-5.6-sol,GPT-5.6 Sol,3.066666666666667,1.0,0.75,0.899390243902439
judge_only:gpt-5.6-sol,Kimi K2,1.275,10.0,0.75,0.899390243902439
judge_only:gpt-5.6-sol,MiniMax M3,1.375,7.0,0.75,0.899390243902439
judge_only:gpt-5.6-sol,Qwen3-30B-A3B-Instruct-2507,1.325,8.0,0.75,0.899390243902439
judge_only:gpt-5.6-sol,Qwen3.8-Max,1.4916666666666667,3.5,0.75,0.899390243902439
